Date,Hours,Price (EUR/MWh),Traded volumes (MWh)
2012.01.21.,H5,"35,00","679,10"
2012.01.21.,H6,"35,01","701,70"
2012.01.21.,H7,"35,01","795,90"
2012.01.21.,H8,"57,00","708,30"
2012.01.21.,H9,"44,00","668,10"
2012.01.21.,H10,"56,99","688,90"
2012.01.21.,H11,"56,99","692,00"
2012.01.21.,H12,"57,02","710,30"
2012.01.21.,H13,"57,00","683,40"
2012.01.21.,H14,"54,95","645,20"
2012.01.21.,H15,"51,50","630,40"
2012.01.21.,H16,"48,31","576,40"
2012.01.21.,H17,"57,01","754,30"
2012.01.21.,H18,"109,79","822,80"
2012.01.21.,H19,"98,06","727,50"
2012.01.21.,H20,"101,30","742,90"
2012.01.21.,H21,"54,96","644,30"
2012.01.21.,H22,"57,00","682,70"
2012.01.21.,H23,"75,03","705,80"
2012.01.21.,H24,"29,53","743,30"
2012.01.22.,H1,"58,00","629,80"
2012.01.22.,H2,"0,01","576,80"
2012.01.22.,H3,"0,01","566,20"
2012.01.22.,H4,"0,01","551,20"
2012.01.22.,H5,"0,01","552,40"
2012.01.22.,H6,"1,17","573,20"
2012.01.22.,H7,"0,01","597,10"
2012.01.22.,H8,"34,00","696,30"
2012.01.22.,H9,"34,00","697,60"
2012.01.22.,H10,"24,44","603,10"
2012.01.22.,H11,"55,60","605,80"
2012.01.22.,H12,"55,61","582,80"
2012.01.22.,H13,"53,61","526,80"
2012.01.22.,H14,"53,60","500,60"
2012.01.22.,H15,"52,40","519,90"
2012.01.22.,H16,"52,41","501,80"
2012.01.22.,H17,"55,61","573,60"
2012.01.22.,H18,"120,00","601,70"
2012.01.22.,H19,"120,00","554,10"
2012.01.22.,H20,"120,01","539,80"
2012.01.22.,H21,"125,00","552,80"
2012.01.22.,H22,"58,00","488,50"
2012.01.22.,H23,"80,01","663,10"
2012.01.22.,H24,"34,00","739,40"
2012.01.23.,H1,"30,01","974,50"
2012.01.23.,H2,"21,94","1 085,80"
2012.01.23.,H3,"20,01","1 039,80"
2012.01.23.,H4,"18,78","1 064,50"
2012.01.23.,H5,"21,71","1 024,30"
2012.01.23.,H6,"32,58","744,60"
2012.01.23.,H7,"53,02","668,40"
2012.01.23.,H8,"55,01","739,20"
2012.01.23.,H9,"55,01","702,00"
2012.01.23.,H10,"55,01","663,00"
2012.01.23.,H11,"55,01","660,80"
2012.01.23.,H12,"55,01","647,10"
2012.01.23.,H13,"55,01","645,50"
2012.01.23.,H14,"55,00","624,00"
2012.01.23.,H15,"55,00","616,80"
2012.01.23.,H16,"55,01","626,80"
2012.01.23.,H17,"95,01","606,30"
2012.01.23.,H18,"99,80","614,80"
2012.01.23.,H19,"95,01","650,30"
2012.01.23.,H20,"84,97","622,30"
2012.01.23.,H21,"55,01","647,60"
2012.01.23.,H22,"48,40","574,80"
2012.01.23.,H23,"51,51","588,20"
2012.01.23.,H24,"58,01","742,80"
2012.01.24.,H1,"60,00","916,70"
2012.01.24.,H2,"52,01","928,70"
2012.01.24.,H3,"43,38","960,40"
2012.01.24.,H4,"42,01","979,30"
2012.01.24.,H5,"45,01","869,20"
2012.01.24.,H6,"58,01","957,50"
2012.01.24.,H7,"84,92","799,80"
2012.01.24.,H8,"120,16","754,70"
2012.01.24.,H9,"121,05","606,80"
2012.01.24.,H10,"128,00","612,40"
2012.01.24.,H11,"128,00","598,70"
2012.01.24.,H12,"126,46","586,10"
2012.01.24.,H13,"128,00","561,10"
2012.01.24.,H14,"128,00","584,50"
2012.01.24.,H15,"125,00","576,70"
2012.01.24.,H16,"128,00","576,60"
2012.01.24.,H17,"128,01","593,40"
2012.01.24.,H18,"128,01","518,20"
2012.01.24.,H19,"128,00","580,60"
2012.01.24.,H20,"128,00","605,20"
2012.01.24.,H21,"128,00","816,50"
2012.01.24.,H22,"100,01","813,10"
2012.01.24.,H23,"84,94","890,60"
2012.01.24.,H24,"59,00","738,50"
2012.01.25.,H1,"50,01","824,30"
2012.01.25.,H2,"41,53","945,10"
2012.01.25.,H3,"38,77","828,30"
2012.01.25.,H4,"37,17","844,30"
2012.01.25.,H5,"37,27","888,30"
2012.01.25.,H6,"45,63","858,60"
2012.01.25.,H7,"58,51","650,30"
2012.01.25.,H8,"58,51","689,90"
2012.01.25.,H9,"60,79","626,20"
2012.01.25.,H10,"59,00","616,50"
2012.01.25.,H11,"56,51","618,70"
2012.01.25.,H12,"56,01","591,80"
2012.01.25.,H13,"55,98","561,30"
2012.01.25.,H14,"55,01","577,20"
2012.01.25.,H15,"55,00","543,30"
2012.01.25.,H16,"52,01","515,10"
2012.01.25.,H17,"55,98","549,70"
2012.01.25.,H18,"85,00","474,20"
2012.01.25.,H19,"71,00","505,50"
2012.01.25.,H20,"56,51","511,20"
2012.01.25.,H21,"57,00","603,60"
2012.01.25.,H22,"53,00","579,10"
2012.01.25.,H23,"46,04","534,90"
2012.01.25.,H24,"49,01","618,30"
2012.01.26.,H1,"55,01","758,50"
2012.01.26.,H2,"47,01","823,90"
2012.01.26.,H3,"40,89","774,20"
2012.01.26.,H4,"36,50","762,30"
2012.01.26.,H5,"35,20","794,70"
2012.01.26.,H6,"55,01","680,10"
2012.01.26.,H7,"73,25","658,70"
2012.01.26.,H8,"62,09","684,60"
2012.01.26.,H9,"95,00","578,50"
2012.01.26.,H10,"95,00","559,40"
2012.01.26.,H11,"95,00","582,10"
